id,LOCATION,AGE,HEIGHT,WEIGHT,WINGSPAN,X0.10M,X0.30M,X0.40M,X30.40M,TRIPLE.BROAD.JUMP,SINGLE.BROAD.JUMP,ABSOLUTE.6SEC.PEAK.POWER,RELATIVE.6SEC.PEAK.POWER,UB.PUSH,UB.PULL,LB.PUSH,CONCEPT.TOTAL,ARM.LEG.BIKE,NA.,HEIGHT.1,WEIGHT.1,WINGSPAN.1,X0.10M.1,X0.30M.1,X0.40M.1,X30.40M.1,TRIPLE.BROAD.JUMP.1,SINGLE.BROAD.JUMP.1,ABSOLUTE.6SEC.PEAK.POWER.1,RELATIVE.6SEC.PEAK.POWER.1,UB.PUSH.1,UB.PULL.1,LB.PUSH.1,CONCEPT.TOTAL.1,ARM.LEG.BIKE.1,CUMULATIVE..PHYSICAL.TESTS.
40,BC,16,171.5,64.2,180,1.55,3.95,5.05,1.1,8.58,2.71,1084,16.8847352,312,354,639,1305,72,#N/A,-1.16984813,-1.094631793,-0.788885148,1.661110143,0.770406923,0.533855446,0.197111945,0.187680624,-0.016101551,-0.722294502,0.230640502,-0.865415784,-1.168430884,-0.601764279,-0.89859451,-0.06987146,-0.00325788
41,AB,23.3,186.5,79.8,182,1.66,3.93,4.99,1.06,8.91,2.93,1350,16.91729323,501,584,960,2045,73,#N/A,0.747059303,0.189020371,-0.566038744,0.646438243,0.840957181,0.65574025,0.369199244,0.565422791,0.843689988,0.318520779,0.243554678,1.152002367,0.630425453,1.077244958,1.025936413,0.130908598,0.524312546
42,BC,17,184,67.7,195,1.56,3.94,5.06,1.12,8.82,2.91,940,13.88478582,346,395,634,1375,70,#N/A,0.427574731,-0.80663291,0.882462881,1.568867243,0.811540073,0.513541311,0.111068296,0.4624022,0.765527121,-1.285743376,-0.959292557,-0.502494,-0.847765189,-0.627917071,-0.716544287,-0.471431577,-0.234264982
43,ATLANTIC,21,180.2,81,186.5,1.93,4.33,5.51,1.18,8.65,2.85,1335,16.48148148,527,778,869,2174,76,#N/A,-0.058041819,0.287762845,-0.064634335,-1.844120057,-0.48875055,-0.400594725,-0.147062651,0.26780775,0.531038519,0.259828188,0.070689492,1.429530789,2.147721668,0.601264146,1.361428965,0.733248772,0.406516051
44,Quebec,20.3,196.7,91.2,200,1.87,4.54,5.79,1.25,7.74,2.45,1290,14.14473684,408,524,880,1812,81,#N/A,2.050556358,1.127073876,1.43957889,-1.290662657,-1.193369034,-0.969390482,-0.448215423,-0.773844894,-1.032218823,0.083750415,-0.856182712,0.159304547,0.161158583,0.658800288,0.419969244,1.737149063,-0.088459956
45,AB,17.4,195.5,133.6,196.5,2.1,4.87,6.2,1.33,6.36,2.12,1290,9.655688623,398,537,886,1821,74,#N/A,1.897203763,4.61597463,1.049597684,-3.412249357,-2.302709383,-1.802269982,-0.79239002,-2.353493957,-2.321906131,0.083750415,-2.63676838,0.052562846,0.262833071,0.690183639,0.443375701,0.331688656,-1.203493593
46,ATLANTIC,24.8,185.5,117.3,189.6,1.82,4.11,5.19,1.08,9,2.73,2049,17.46803069,656,941,1076,2673,72,#N/A,0.619265474,3.274722689,0.28077759,-0.829448157,0.22756075,0.249457567,0.283155594,0.668443382,0.062061316,3.05359552,0.462005267,2.806498733,3.422563332,1.683989729,2.659186979,-0.06987146,0.793844347
47,Quebec,0,180.8,75.5,191.7,1.63,3.94,5.02,1.08,10.25,3.25,1521,20.14569536,413,539,934,1886,72,#N/A,0.018634479,-0.164806828,0.514766314,0.923166943,0.797170306,0.594797848,0.283155594,2.099284926,2.094295862,0.987616316,1.524103758,0.212675397,0.2784753,0.94125044,0.612422336,-0.06987146,0.952147482
48,ATLANTIC,16.6,186.4,79.6,192.1,1.8,4.18,5.32,1.14,7.96,2.57,1325,16.64572864,440,596,808,1844,76,#N/A,0.73427992,0.172563292,0.559335595,-0.644962357,-0.001482598,-0.014626177,0.025024647,-0.522016782,-0.563241621,0.220699794,0.1358383,0.50087799,0.724278827,0.282200086,0.503192203,0.733248772,0.167127263
49,AB,#N/A,193.5,113.8,203,1.98,4.72,6.03,1.31,6.78,2.25,1500,13.18101933,528,724,1051,2303,79,#N/A,1.641616105,2.986723806,1.773848496,-2.305334557,-1.807294603,-1.456929701,-0.706346371,-1.872731199,-1.813847495,0.905446689,-1.23844227,1.44020496,1.725381484,1.55322577,1.696921518,1.335588947,-0.307118541
